Sample1	Sample2	Sample1_Sample2	Concordant	Sample1 only	Sample2 only
P-1 assembloid	P-1 organoid	P-1 assembloid_P-1 organoid	0.867117117117	0.00675675675676	0.126126126126
P-1 assembloid	P-1 parental tumour	P-1 assembloid_P-1 parental tumour	0.775210084034	0.0399159663866	0.18487394958
P-1 assembloid	P-2 assembloid	P-1 assembloid_P-2 assembloid	0.0324254215305	0.470817120623	0.496757457847
P-1 assembloid	P-2 organoid	P-1 assembloid_P-2 organoid	0.03625	0.44875	0.515
P-1 assembloid	P-2 parental tumour	P-1 assembloid_P-2 parental tumour	0.0339750849377	0.40543601359	0.560588901472
P-1 assembloid	P-3 assembloid	P-1 assembloid_P-3 assembloid	0.0309278350515	0.469072164948	0.5
P-1 assembloid	P-3 organoid	P-1 assembloid_P-3 organoid	0.0313253012048	0.436144578313	0.532530120482
P-1 assembloid	P-3 parental tumour	P-1 assembloid_P-3 parental tumour	0.0306603773585	0.426886792453	0.542452830189
P-1 assembloid	P-6 assembloid	P-1 assembloid_P-6 assembloid	0.0337690631808	0.388888888889	0.57734204793
P-1 assembloid	P-6 organoid	P-1 assembloid_P-6 organoid	0.0313174946004	0.387688984881	0.580993520518
P-1 assembloid	P-6 parental tumour	P-1 assembloid_P-6 parental tumour	0.0331262939959	0.368530020704	0.5983436853
P-1 organoid	P-1 parental tumour	P-1 organoid_P-1 parental tumour	0.796	0.086	0.118
P-1 organoid	P-2 assembloid	P-1 organoid_P-2 assembloid	0.0341047503045	0.503045066991	0.462850182704
P-1 organoid	P-2 organoid	P-1 organoid_P-2 organoid	0.0364277320799	0.48178613396	0.48178613396
P-1 organoid	P-2 parental tumour	P-1 organoid_P-2 parental tumour	0.0364806866953	0.43669527897	0.526824034335
P-1 organoid	P-3 assembloid	P-1 organoid_P-3 assembloid	0.0314389359129	0.501813784764	0.466747279323
P-1 organoid	P-3 organoid	P-1 organoid_P-3 organoid	0.0341296928328	0.467576791809	0.498293515358
P-1 organoid	P-3 parental tumour	P-1 organoid_P-3 parental tumour	0.032293986637	0.458797327394	0.508908685969
P-1 organoid	P-6 assembloid	P-1 organoid_P-6 assembloid	0.0383419689119	0.418652849741	0.543005181347
P-1 organoid	P-6 organoid	P-1 organoid_P-6 organoid	0.037037037037	0.416666666667	0.546296296296
P-1 organoid	P-6 parental tumour	P-1 organoid_P-6 parental tumour	0.0395647873393	0.396636993076	0.563798219585
P-1 parental tumour	P-2 assembloid	P-1 parental tumour_P-2 assembloid	0.0322195704057	0.513126491647	0.454653937947
