GENE	MARKER	DB
UPK2	Luminal	BASE47
SCNN1B	Luminal	BASE47
PPARG	Luminal	BASE47
TOX3	Luminal	BASE47
GATA3	Luminal	BASE47
HMGCS2	Luminal	BASE47
RAB15	Luminal	BASE47
AHNAK2	Basal	BASE47
ADIRF	Luminal	BASE47
SEMA5A	Luminal	BASE47
CHST15	Basal	BASE47
TRAK1	Luminal	BASE47
SCNN1G	Luminal	BASE47
MT1X	Basal	BASE47
TMPRSS2	Luminal	BASE47
VGLL1	Luminal	BASE47
TBX2	Luminal	BASE47
UPK1A	Luminal	BASE47
GAREM1	Luminal	BASE47
BHMT	Luminal	BASE47
SPINK1	Luminal	BASE47
GPD1L	Luminal	BASE47
RNF128	Luminal	BASE47
CYP2J2	Luminal	BASE47
EMP3	Basal	BASE47
GDPD3	Luminal	BASE47
FBP1	Luminal	BASE47
MSN	Basal	BASE47
MT2A	Basal	BASE47
CDK6	Basal	BASE47
ALOX5AP	Basal	BASE47
PRRX1	Basal	BASE47
SLC27A2	Luminal	BASE47
TMEM97	Luminal	BASE47
CD14	Basal	BASE47
PLEKHG6	Luminal	BASE47
CYP4B1	Luminal	BASE47
GLIPR1	Basal	BASE47
PDGFC	Basal	BASE47
CAVIN3	Basal	BASE47
FAP	Basal	BASE47
CAPN5	Luminal	BASE47
PALLD	Basal	BASE47
TUBB6	Basal	BASE47
SLC9A2	Luminal	BASE47
PPFIBP2	Luminal	BASE47
FAM174B	Luminal	BASE47
KRT5	Basal	MD	
SNAI2	Claudin	MD
CD44	Basal	MD
KRT8	Luminal	MD
FLNC	p53like	MD
FGFR3	Luminal	MD
KRT20	Luminal	MD
CLDN3	Claudin	MD
FOXA1	Luminal	MD
TWIST1	Claudin	MD
