ensembl_gene_id	entrezgene_id	external_gene_name	chromosome_name	description	gene_biotype
Xkr4	ENSMUSG00000051951	497097	Xkr4	1	X-linked Kx blood group related 4	protein_coding
Rp1	ENSMUSG00000025900	19888	Rp1	1	retinitis pigmentosa 1 (human)	protein_coding
Sox17	ENSMUSG00000025902	20671	Sox17	1	SRY (sex determining region Y)-box 17	protein_coding
Mrpl15	ENSMUSG00000033845	27395	Mrpl15	1	mitochondrial ribosomal protein L15	protein_coding
Lypla1	ENSMUSG00000025903	18777	Lypla1	1	lysophospholipase 1	protein_coding
Gm37988	ENSMUSG00000104217	NA	Gm37988	1	predicted gene, 37988	protein_coding
Tcea1	ENSMUSG00000033813	21399	Tcea1	1	transcription elongation factor A (SII) 1	protein_coding
Rgs20	ENSMUSG00000002459	58175	Rgs20	1	regulator of G-protein signaling 20	protein_coding
Atp6v1h	ENSMUSG00000033793	108664	Atp6v1h	1	ATPase, H+ transporting, lysosomal V1 subunit H	protein_coding
Oprk1	ENSMUSG00000025905	18387	Oprk1	1	opioid receptor, kappa 1	protein_coding
Npbwr1	ENSMUSG00000033774	226304	Npbwr1	1	neuropeptides B/W receptor 1	protein_coding
Rb1cc1	ENSMUSG00000025907	12421	Rb1cc1	1	RB1-inducible coiled-coil 1	protein_coding
4732440D04Rik	ENSMUSG00000090031	NA	4732440D04Rik	1	RIKEN cDNA 4732440D04 gene	lncRNA
Alkal1	ENSMUSG00000087247	620393	Alkal1	1	ALK and LTK ligand 1	protein_coding
St18	ENSMUSG00000033740	240690	St18	1	suppression of tumorigenicity 18	protein_coding
Pcmtd1	ENSMUSG00000051285	319263	Pcmtd1	1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	protein_coding
Gm26901	ENSMUSG00000097797	NA	Gm26901	1	predicted gene, 26901	lncRNA
Sntg1	ENSMUSG00000025909	71096	Sntg1	1	syntrophin, gamma 1	protein_coding
Rrs1	ENSMUSG00000061024	59014	Rrs1	1	ribosome biogenesis regulator 1	protein_coding
Adhfe1	ENSMUSG00000025911	76187	Adhfe1	1	alcohol dehydrogenase, iron containing, 1	protein_coding
Mybl1	ENSMUSG00000025912	17864	Mybl1	1	myeloblastosis oncogene-like 1	protein_coding
Vcpip1	ENSMUSG00000045210	70675	Vcpip1	1	valosin containing protein (p97)/p47 complex interacting protein 1	protein_coding
1700034P13Rik	ENSMUSG00000097893	NA	1700034P13Rik	1	RIKEN cDNA 1700034P13 gene	lncRNA
Sgk3	ENSMUSG00000025915	170755	Sgk3	1	serum/glucocorticoid regulated kinase 3	protein_coding
Mcmdc2	ENSMUSG00000046101	240697	Mcmdc2	1	minichromosome maintenance domain containing 2	protein_coding
Snhg6	ENSMUSG00000098234	NA	Snhg6	1	small nucleolar RNA host gene 6	lncRNA
Tcf24	ENSMUSG00000099032	100039596	Tcf24	1	transcription factor 24	protein_coding
Ppp1r42	ENSMUSG00000025916	69312	Ppp1r42	1	protein phosphatase 1, regulatory subunit 42	protein_coding
Cops5	ENSMUSG00000025917	26754	Cops5	1	COP9 signalosome subunit 5	protein_coding
Cspp1	ENSMUSG00000056763	211660	Cspp1	1	centrosome and spindle pole associated protein 1	protein_coding
Arfgef1	ENSMUSG00000067851	211673	Arfgef1	1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	protein_coding
Cpa6	ENSMUSG00000042501	329093	Cpa6	1	carboxypeptidase A6	protein_coding
Prex2	ENSMUSG00000048960	109294	Prex2	1	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	protein_coding
A830018L16Rik	ENSMUSG00000057715	320492	A830018L16Rik	1	RIKEN cDNA A830018L16 gene	protein_coding
Sulf1	ENSMUSG00000016918	240725	Sulf1	1	sulfatase 1	protein_coding
Slco5a1	ENSMUSG00000025938	240726	Slco5a1	1	solute carrier organic anion transporter family, member 5A1	protein_coding
Ncoa2	ENSMUSG00000005886	17978	Ncoa2	1	nuclear receptor coactivator 2	protein_coding
Gm29570	ENSMUSG00000101476	NA	Gm29570	1	predicted gene 29570	lncRNA
Tram1	ENSMUSG00000025935	72265	Tram1	1	translocating chain-associating membrane protein 1	protein_coding
Lactb2	ENSMUSG00000025937	212442	Lactb2	1	lactamase, beta 2	protein_coding
Xkr9	ENSMUSG00000067813	381246	Xkr9	1	X-linked Kx blood group related 9	protein_coding
Eya1	ENSMUSG00000025932	14048	Eya1	1	EYA transcriptional coactivator and phosphatase 1	protein_coding
Gm9947	ENSMUSG00000054493	NA	Gm9947	1	predicted gene 9947	lncRNA
