ensembl_gene_id	entrezgene_id	external_gene_name	chromosome_name	description	gene_biotype
ENSG00000237491	NA	LINC01409	1	long intergenic non-protein coding RNA 1409	lncRNA
ENSG00000225880	NA	LINC00115	1	long intergenic non-protein coding RNA 115	lncRNA
ENSG00000230368	NA	FAM41C	1	family with sequence similarity 41 member C	lncRNA
ENSG00000188976	26155	NOC2L	1	NOC2 like nucleolar associated transcriptional repressor	protein_coding
ENSG00000187961	339451	KLHL17	1	kelch like family member 17	protein_coding
ENSG00000187583	84069	PLEKHN1	1	pleckstrin homology domain containing N1	protein_coding
ENSG00000188290	57801	HES4	1	hes family bHLH transcription factor 4	protein_coding
ENSG00000187608	9636	ISG15	1	ISG15 ubiquitin like modifier	protein_coding
ENSG00000188157	375790	AGRN	1	agrin	protein_coding
ENSG00000131591	54991	C1orf159	1	chromosome 1 open reading frame 159	protein_coding
ENSG00000078808	51150	SDF4	1	stromal cell derived factor 4	protein_coding
ENSG00000176022	126792	B3GALT6	1	beta-1,3-galactosyltransferase 6	protein_coding
ENSG00000184163	388581	C1QTNF12	1	C1q and TNF related 12	protein_coding
ENSG00000160087	118424	UBE2J2	1	ubiquitin conjugating enzyme E2 J2	protein_coding
ENSG00000131584	116983	ACAP3	1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	protein_coding
ENSG00000169972	126789	PUSL1	1	pseudouridine synthase like 1	protein_coding
ENSG00000127054	54973	INTS11	1	integrator complex subunit 11	protein_coding
ENSG00000224051	80772	CPTP	1	ceramide-1-phosphate transfer protein	protein_coding
ENSG00000107404	1855	DVL1	1	dishevelled segment polarity protein 1	protein_coding
ENSG00000175756	54998	AURKAIP1	1	aurora kinase A interacting protein 1	protein_coding
ENSG00000221978	81669	CCNL2	1	cyclin L2	protein_coding
ENSG00000242485	55052	MRPL20	1	mitochondrial ribosomal protein L20	protein_coding
ENSG00000179403	64856	VWA1	1	von Willebrand factor A domain containing 1	protein_coding
ENSG00000160072	83858	ATAD3B	1	ATPase family AAA domain containing 3B	protein_coding
ENSG00000197785	55210	ATAD3A	1	ATPase family AAA domain containing 3A	protein_coding
ENSG00000205090	339453	TMEM240	1	transmembrane protein 240	protein_coding
ENSG00000160075	29101	SSU72	1	SSU72 homolog, RNA polymerase II CTD phosphatase	protein_coding
ENSG00000228594	643988	FNDC10	1	fibronectin type III domain containing 10	protein_coding
ENSG00000197530	142678	MIB2	1	mindbomb E3 ubiquitin protein ligase 2	protein_coding
ENSG00000189409	8510	MMP23B	1	matrix metallopeptidase 23B	protein_coding
ENSG00000248333	984	CDK11B	1	cyclin dependent kinase 11B	protein_coding
ENSG00000189339	728661	SLC35E2B	1	solute carrier family 35 member E2B	protein_coding
ENSG00000008128	728642	CDK11A	1	cyclin dependent kinase 11A	protein_coding
ENSG00000215790	9906	SLC35E2A	1	solute carrier family 35 member E2A	protein_coding
ENSG00000008130	65220	NADK	1	NAD kinase	protein_coding
ENSG00000078369	2782	GNB1	1	G protein subunit beta 1	protein_coding
ENSG00000178821	339456	TMEM52	1	transmembrane protein 52	protein_coding
